first_seen,ip,last_seen,name,port_number,priority,remediation_action,remediation_id,status
2022-08-08T13:56:22.708235Z,45.33.49.119,2022-08-08T13:56:22.709171Z,nmap.org,80,MEDIUM,CVE-2014-0098 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2014-0098 for details.,CVE-2014-0098,NEWLY_DISCOVERED
2022-08-08T13:56:22.705324Z,45.33.49.119,2022-08-08T13:56:22.706105Z,nmap.org,80,MEDIUM,CVE-2014-0117 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2014-0117 for details.,CVE-2014-0117,NEWLY_DISCOVERED
2022-08-08T13:56:22.702310Z,45.33.49.119,2022-08-08T13:56:22.703192Z,nmap.org,80,MEDIUM,CVE-2014-0118 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2014-0118 for details.,CVE-2014-0118,NEWLY_DISCOVERED
2022-08-08T13:56:22.699030Z,45.33.49.119,2022-08-08T13:56:22.699999Z,nmap.org,80,MEDIUM,CVE-2014-0226 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2014-0226 for details.,CVE-2014-0226,NEWLY_DISCOVERED
2022-08-08T13:56:22.695498Z,45.33.49.119,2022-08-08T13:56:22.696660Z,nmap.org,80,MEDIUM,CVE-2014-0231 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2014-0231 for details.,CVE-2014-0231,NEWLY_DISCOVERED
2022-08-08T13:56:22.692292Z,45.33.49.119,2022-08-08T13:56:22.693174Z,nmap.org,80,MEDIUM,CVE-2014-3523 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2014-3523 for details.,CVE-2014-3523,NEWLY_DISCOVERED
2022-08-08T13:56:22.689261Z,45.33.49.119,2022-08-08T13:56:22.690165Z,nmap.org,80,MEDIUM,CVE-2014-8109 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2014-8109 for details.,CVE-2014-8109,NEWLY_DISCOVERED
2022-08-08T13:56:22.686084Z,45.33.49.119,2022-08-08T13:56:22.687082Z,nmap.org,80,MEDIUM,CVE-2015-0228 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2015-0228 for details.,CVE-2015-0228,NEWLY_DISCOVERED
2022-08-08T13:56:22.681318Z,45.33.49.119,2022-08-08T13:56:22.682428Z,nmap.org,80,MEDIUM,CVE-2015-3183 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2015-3183 for details.,CVE-2015-3183,NEWLY_DISCOVERED
2022-08-08T13:56:22.677562Z,45.33.49.119,2022-08-08T13:56:22.678730Z,nmap.org,80,MEDIUM,CVE-2015-3185 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2015-3185 for details.,CVE-2015-3185,NEWLY_DISCOVERED
2022-08-08T13:56:22.674562Z,45.33.49.119,2022-08-08T13:56:22.675346Z,nmap.org,80,HIGH,CVE-2016-0736 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2016-0736 for details.,CVE-2016-0736,NEWLY_DISCOVERED
2022-08-08T13:56:22.671608Z,45.33.49.119,2022-08-08T13:56:22.672532Z,nmap.org,80,HIGH,CVE-2016-2161 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2016-2161 for details.,CVE-2016-2161,NEWLY_DISCOVERED
2022-08-08T13:56:22.668227Z,45.33.49.119,2022-08-08T13:56:22.669279Z,nmap.org,80,MEDIUM,CVE-2016-4975 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2016-4975 for details.,CVE-2016-4975,NEWLY_DISCOVERED
2022-08-08T13:56:22.664631Z,45.33.49.119,2022-08-08T13:56:22.665781Z,nmap.org,80,HIGH,CVE-2016-5387 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2016-5387 for details.,CVE-2016-5387,NEWLY_DISCOVERED
2022-08-08T13:56:22.660926Z,45.33.49.119,2022-08-08T13:56:22.662035Z,nmap.org,80,HIGH,CVE-2016-8743 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2016-8743 for details.,CVE-2016-8743,NEWLY_DISCOVERED
2022-08-08T13:56:22.657960Z,45.33.49.119,2022-08-08T13:56:22.658796Z,nmap.org,80,HIGH,CVE-2017-15710 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2017-15710 for details.,CVE-2017-15710,NEWLY_DISCOVERED
2022-08-08T13:56:22.654861Z,45.33.49.119,2022-08-08T13:56:22.655866Z,nmap.org,80,HIGH,CVE-2017-15715 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2017-15715 for details.,CVE-2017-15715,NEWLY_DISCOVERED
2022-08-08T13:56:22.651567Z,45.33.49.119,2022-08-08T13:56:22.652572Z,nmap.org,80,CRITICAL,CVE-2017-3167 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2017-3167 for details.,CVE-2017-3167,NEWLY_DISCOVERED
